trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23479478,2019-07-01 01:01:16 UTC,2019-07-01 02:27:06 UTC,4278,5150.0,129,Blue Island Ave & 18th St,129,Blue Island Ave & 18th St,Customer,Male,2000
23479527,2019-07-01 01:47:40 UTC,2019-07-01 04:03:12 UTC,1316,8132.0,284,Michigan Ave & Jackson Blvd,284,Michigan Ave & Jackson Blvd,Customer,Male,2000
23479744,2019-07-01 05:45:59 UTC,2019-07-01 06:00:49 UTC,648,890.0,180,Ritchie Ct & Banks St,172,Rush St & Cedar St,Subscriber,Female,1947
23479765,2019-07-01 05:49:41 UTC,2019-07-01 05:55:07 UTC,1880,326.0,43,Michigan Ave & Washington St,98,LaSalle St & Washington St,Subscriber,Male,1958
23479819,2019-07-01 05:59:57 UTC,2019-07-01 06:04:16 UTC,5190,259.0,344,Ravenswood Ave & Lawrence Ave,314,Ravenswood Ave & Berteau Ave,Subscriber,Male,1958
23479820,2019-07-01 06:00:07 UTC,2019-07-01 06:17:49 UTC,3720,1062.0,481,California Ave & Montrose Ave,481,California Ave & Montrose Ave,Subscriber,Male,1952
23479835,2019-07-01 06:03:23 UTC,2019-07-01 06:10:00 UTC,6342,397.0,195,Columbus Dr & Randolph St,164,Franklin St & Lake St,Subscriber,Male,1952
23479884,2019-07-01 06:12:24 UTC,2019-07-01 06:22:35 UTC,710,611.0,91,Clinton St & Washington Blvd,264,Stetson Ave & South Water St,Subscriber,Male,1949
23479897,2019-07-01 06:13:29 UTC,2019-07-01 06:25:52 UTC,4064,743.0,283,LaSalle St & Jackson Blvd,74,Kingsbury St & Erie St,Subscriber,Female,1955
23479902,2019-07-01 06:14:13 UTC,2019-07-01 06:18:46 UTC,6094,273.0,174,Canal St & Madison St,37,Dearborn St & Adams St,Subscriber,Female,1956
23479909,2019-07-01 06:14:56 UTC,2019-07-01 06:23:30 UTC,3766,514.0,460,Clark St & Bryn Mawr Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1959
